Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
CENTRO PRODUCTIVO DE DISENO S.A.*348,"MEXICO 337, CP 1097, CABA, BUENOS AIRES",Argentina,2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. PABLO MAXIMILIANO KANTT*349,"CALLE PATERA 62, 4TO PISO OF. B, BUENOS AIRES",Argentina,2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. JAIME SALAZAR ESPINOZA*353,"C/O DESARROLLO CON INGENIERÍA CONTRATISTAS GENERALES S.A. (DISA-CGSA), CALLE SAN MARCOS NO. 508, URB. SAN ANTONIO, HUANCAYO, JUNIN",Peru,2016-12-27,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ZANOTTA SUDAMERICANA S.A.*347,"C/O CENTRO PRODUCTIVO DE DISEÑO S.A., MEXICO 337, CP 1097, CABA, BUENOS AIRES",Argentina,2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. PEWEE FLOMO*354,"TOPOE AVENUE, GAYE TOWN, OLD ROAD, SINKOR, MONROVIA",Liberia,2016-12-27,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
MR. PABLO MAXIMILIANO KANTT*349,"AV. GRAL ORTIZ DE OCAMPO 2635, 4D, CP 1425, CABA, BUENOS AIRES",Argentina,2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. PABLO MAXIMILIANO KANTT*349,"C/O CENTRO PRODUCTIVO DE DISEÑO S.A., MEXICO 337, CP 1097, CABA, BUENOS AIRES",Argentina,2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
BEST SCAN SOLUTIONS LIMITED*355,"10 OBANLE ARO AVENUE, OFF COKER ROAD, ILUPEJU, LAGOS",Nigeria,2017-01-24,2999-12-31,"Consultant Guidelines, 1.22(a)(i)"
MR. SANJAY GUPTA*176,"1535 BHATBHATENI, G.P.O. BOXES 3868 AND 10807, KATHMANDU",Nepal,2014-01-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
DIVIARQ*214,"CALLE PEDRO ALMARÁZ NO. 3380 Ó 3379, BARRIO CHACARILLA, SANTA CRUZ DE LA SIERRA",Bolivia,2014-06-25,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. PETER LEE*192 (AKA MR. LI YI),"NO. 88 ERQI NORTH ROAD, NANCHANG, 330046",China,2014-04-18,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION RIJAVOLA*207,"LOT IVL 58 AP BIS ANDOHATAPENAKA- III, ANTANANARIVO 101",Madagascar,2014-06-03,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ATLAS MEDICINE CONCERN PVT. LTD.*175,"1535 BHATBHATENI, G.P.O. BOXES 3868 AND 10807, KATHMANDU",Nepal,2014-01-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
HARJIT SINGH*189,"904, ROUTE FLYNN KEMPTVILLE, QUEBEC, K0G 1J0",Canada,2014-03-31,2999-12-31,"Consultant Guidelines, 1.25(a)(ii)"
"COMPUAIDS INC., d/b/a Groupe Systèmes et Solutions D’entreprise, ESS Group, Enterprise Systems and Solutions Group*189","900-275 SLATER STREET, OTTAWA, ONTARIO",Canada,2014-03-31,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
MEDTECHNICA PLUS CJSC*243,"HERATSI STR., 7 YEREVAN 0025",Armenia,2014-12-30,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. YUSRI YUSUF*179,"KEUMANG BANDA ACEH OFFICE, JALAN KAYEE ADANG NO. 11 LAMNYONG (PEURADA UTAMA), DESA LAMGUGUP, KECAMATAN SYIAH KUALA BANDA ACEH 23115",Indonesia,2014-02-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii); 1.14(a)(iv)"
LAXMINARAYAN MALLICK(Also Doing Business Under Laxmi Narayan Construction or Laxminarayan Construction) *187,"PLOT NO. 2D – 221/10 SECTOR - 11, CDA CUTTACK, 753014",India,2014-03-25,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSTRUCTORA ROMERO ARTEAGA*205,"B/. 3 PASOS AL FRENTE 4TO. ANILLO NO. 2546, SANTA CRUZ DE LA SIERRA",Bolivia,2014-05-28,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SERVEMTEC LTDA*173,"RUA 18, QD. 35, CASA 80, VILÁGIO COHATRAC V, CEP 65.052-090, SÃO JOSÉ DE RIBAMAR, MARANHÃO",Brazil,2014-01-02,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
M/S. FAMY CARE LIMITED*369,"BRADY HOUSE, 3RD FLOOR, 12/14, VEER NARIMAN ROAD, FORT, MUMBAI – 400 001",India,2017-05-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
PROGRESSIVE CONSTRUCTIONS LIMITED*171,"7TH FLOOR, RAGHAVA NORTH BLOCK, RAGHAVA RATNA TOWERS, CHIRAG ALI LANE, ABIDS, HYDERABAD, 500 001, ANDHRA PRADESH",India,2013-11-26,2024-11-25,"Procurement Guidelines, 1.14(a)(ii)"
SAVOIR SOFT SOLUTIONS PVT. LTD.*186,"D-3, SECTOR 59, NOIDA, UTTAR PRADESH",India,2014-03-19,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION ERLINE*203,"LOT II A 119 SA NANISANA, ANTANANARIVO 101",Madagascar,2014-05-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
A.R. DOS SANTOS*174,"RUA 07, QDA 14, NO. 21, VILÁGIO COHATRAC IV, CEP 65.054-330, SÃO LUIS, MARANHÃO",Brazil,2014-01-02,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
OSTEK CONSTRUCTION ELECTRIC AUTOMATION SYSTEM TECHNOLOGIES LTD*178,"MEŞRUTIYET CAD. HATAY SK. NO: 20/7, KIZILAY, ANKARA",Turkiye,2014-02-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION TSIMANAVAKA*204,"LOT IVO 69 K 43 BIS ANTOHOMADINIKA ATSIMO, 101 ANTANANARIVO",Madagascar,2014-05-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. JONAS GYLLENSVAAN,VA,United States,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i) & (ii)
DEVELOPMENT AND RELIEF CORPORATION B.V.(also known as DRC b.v.) *161,"INDUSTRIEWEG 24, 4153 BW BEESD",Netherlands,2013-09-09,2999-12-31,"2004 Procurement Guidelines, para. 1.14(a)(i)"
CASE TECHNOLOGY,"WATFORD, HERTFORDSHIRE",United Kingdom,1999-06-25,2999-12-31,Procurement Guidelines 1.15(a)(i)
MR. VALERIY RUSHCHAK*226,"OKRUZHNA STR. 51/10, 79000 LVIV",Ukraine,2014-09-19,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
DATABAS & NATVERKSIDEER,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
SWAAN CONSULTING AB,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i) & (ii)
URALKOTLOSERVICE PKF ZAO*77,"2 BRUSNITSYN, STREET, APT. 14, 623700, BEREZOVSKY, SVERDLOVSK OBLAST",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. YANG LIN* 30,"C/O SUITE 617 EAST PLAZA, NO. 15 NORTH ROAD, WEST 4TH RING ROAD, HAI DIAN DISTRICT, 100195, BEIJING",China,2011-05-11,2999-12-31,Procurement Guidelines 1.14(a)(ii)
CONSULTANTS FOR INTERNATIONAL DEVELOPMENT P.L.C.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
INFOTEK & CO.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
LABH SINGH GILL,WARWICKSHIRE,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
PRODUCTIONSEKONOMI I STOCKHOLM AB,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
WEST END ASSOCIATES LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
JYC IMPORT EXPORT*199,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO, COCHABAMBA",Bolivia,2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
MR. JHONNY CHOQUE ROJAS*200,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO, COCHABAMBA",Bolivia,2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
MS. CORINA RAMIREZ RODRIGUEZ*201,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO, COCHABAMBA",Bolivia,2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
PRIVATE ENTERPRISE (PE) RABMER*206,"26, PL. RYNOK, SAMBIR, 81400 LVIVSKA OBLAST",Ukraine,2014-06-03,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
LIMITED LIABILITY COMPANY MANUFACTURING AND COMMERCIAL FIRM “ROMA LLC”*257,"39, 40-RICHCHIA RADIANSKOYI UKRAYINY STR., ZAPORIZHZHIA, 69037",Ukraine,2015-03-10,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)-(iii)"
N.C. SANITORS & SERVICE CORPORATION*239,"OPPOSITE LIBERIA BROADCASTING SYSTEM, PAYNESVILLE, MONROVIA",Liberia,2014-12-16,2027-12-15,"Procurement Guidelines, 1.14(a)(i)-(ii)"
"MR. LUIS SANCHEZ SANTUR, also MR. LUIS SÁNCHEZ SANTUR *258","CALLE ATENAS NÚMERO 380, URBANIZACÍON SAN ROQUE – LOS OLIVOS, LIMA",Peru,2015-03-11,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
PROJECT CONSTRUCTION S.A.C.*271,"CALLE RICARDO ÁNGULO 834, URB. CORPAC-SAN ISIDRO, LIMA",Peru,2015-06-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ANGEL ZAMBRANO NAVARRO*260,"CALLE RICARDO ÁNGULO 834, URB. CORPAC-SAN ISIDRO, LIMA",Peru,2015-04-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"SHANDONG HUALONG LANDSCAPING ENGINEERING CO., LTD.(山东华龙园林工程有限公司) *261","ROOM #2312, 23RD FLOOR, TOWER 2, 61 HAIER ROAD, QINGDAO, SHANDONG PROVINCE",China,2015-04-21,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. LUDWIG ATAHUALPA HUERTA*254,"CALLE BAHIA MZ. U LOTE N. 7A, URB. SOL DE LA MOLINA II ETAPA, DISTRITO DE LA MOLINA, PROVINCIA Y DEPARTAMENTO DE LIMA",Peru,2015-02-25,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"SOLUCIONES ENERGÉTICAS, S. A.*283","AVENIDA REAL DE PINTO, 146, MADRID 28021",Spain,2015-07-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
MR. NIKOLAI GEORGIEVITCH OBRADOVITCH*296,"LAST KNOWN ADDRESS: LARSBERGSVÄGEN 17 LGH 1806, 181 38 LIDINGÖ",Sweden,2015-10-30,2999-12-31,"Consultant Guidelines, 1.22(a)(i)"
"XINJINZHU MUNICIPAL LANDSCAPING ENGINEERING CO., LTD.f/k/a Henan Xinjinzhu Landscaping Engineering Co., Ltd. *286","15TH FLOOR, TAIHONG YANGGUANG BUILDING, INTERSECTION OF ZHONGZHOU AVENUE AND XINYUAN ROAD, ZHENGZHOU, HENAN PROVINCE, 450002",China,2015-07-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSTRUCTORA ARTEAGA S.R.L. (CONARTE S.R.L.)*373,"CALLE 9 N° 455 EDIFICIO: EL ZODIACO, PISO: 2, OFICINA: 201, ZONA: OBRAJES, LA PAZ",Bolivia,2017-06-16,2024-10-15,"Procurement Guidelines, 1.14(a)(ii)-(iii)"
MR. NGUYEN PHUONG QUY*298,"TOWER CENTER OFFICE BUILDING,NO. 83A LY THUONG KIET STREET,DISTRICT HOAN KIEM, HANOI",Viet Nam,2015-12-15,2026-12-14,"Consult. Guidelines, 1.22(a)(ii); Proc. Guidelines, 1.14(a)(ii)-(iii)"
"INNOGY SOLUTIONS, INC.*427","UNIT 1217-1219 CITY & LAND MEGA PLAZA, ADB AVENUE CORNER GARNET ROAD, ORTIGAS CENTER, PASIG CITY",Philippines,2018-03-16,2999-12-31,"2006, 2011 Consult. Guidelines, Fraudulent and Collusive Practices"
KUVASOY TAMIR KURLISH LLC(now known as Stroy Montaj Invest) (Reg. No. 200124780) *444,"125 NEMAT BERK STREET, MIRZO ULUGBEK DISTRICT, TASHKENT CITY",Uzbekistan,2018-06-13,2999-12-31,"Jan. 2011 Procurement Guidelines, Paras. 1.16(a)(ii) & 1.16(a)(iii)"
FAR KURLISH MONTAJ INVEST(f/k/a QUVASOY MUKAMMAL TAMIR LLC) (Reg. No. 300494794) *371,"3A SH. RASHIDOV STREET, FERGANA DISTRICT, FERGANA REGION",Uzbekistan,2017-06-13,2025-05-12,"Procurement Guidelines, 1.16(a)(ii)-(iii)-(iv)"
ECOGRAPH LLC*294 AKA ECOGRAPHY COMPANY,"BUILDING OF MONGOL ENGINEER CO. LTD., KHOROO 20, BAYANGOL DISTRICT, ULANBATAAR",Mongolia,2015-10-15,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
LTB LEITUNGSBAU GMBH*352,"RANKESTRAßE 35, 01139, DRESDEN",Germany,2016-11-21,2999-12-31,"Jan. 2011 Procurement Guidelines, Para. 1.16(a)(ii)"
"HUNAN CONSTRUCTION GROUP CO., LTD.(湖南建设集团有限公司) *301","LAST KNOWN ADDRESS: 70 NORTH CHEZHAN ROAD, WAN XIANG XIN TIAN BUILDING, FURONG DISTRICT, CHANGSHA, HUNAN 410007",China,2016-01-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. MANUEL MONTARROSO*284,"AVENIDA REAL DE PINTO, 146, MADRID 28021",Spain,2015-07-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
"INTERNATIONAL EPIROTIC CONSTRUCTION AND TRADING S.A., D.I.T.E. SA*291","10TH KM. NATIONAL HIGHWAY, IOANNINA-ATHENS 45500",Greece,2015-09-25,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
"XINJINZHU MUNICIPAL LANDSCAPING ENGINEERING CO., LTD.f/k/a Henan Xinjinzhu Landscaping Engineering Co., Ltd. *286","5TH FLOOR, JINZHU BUILDING, NORTH OF THE NEW BRIDGE, HUANGCHUAN, HENAN PROVINCE, 465150",China,2015-07-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
TIS CONSULTANTS COMPANY LIMITED*55,"151 TEAM BUILDING, MOO 12, NUANCHAN ROAD, KLONG KUM, BUENG KUM, BANGKOK",Thailand,2011-09-20,2999-12-31,Consultant Guidelines 1.25(a)(i)
GURPREET SINGH MALIK,LAGOS,Nigeria,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
"ZHONGKE LIFE SCIENCE & TECHNOLOGY CO., LTD.*40","NO. 88, ZHIYUAN ROAD, WUKANG TOWN, DEQING COUNTY, ZHEJIANG 313200",China,2011-07-26,2999-12-31,Procurement Guidelines 1.14(a)(ii)
MR. ALLAN MAKABAYI*81,"P.O. BOX 2100, PLOT 30 KOME CRESCENT, LUZIRA, KAMPALA",Uganda,2011-12-15,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CUMORAH*237,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO, COCHABAMBA",Bolivia,2014-12-02,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)"
OLIVE HEALTH CARE*383,"REGISTERED OFFICE: GODREJ COLISEUM, SOMAIYA HOSPITAL ROAD, B-3, 2ND FLOOR, SION (EAST), MUMBAI 400 022",India,2017-07-21,2028-01-20,"May 2010 Procurement Guidelines, Para. 1.14(a)(i) & (ii)"
MR. JAY MODI*383,"REGISTERED OFFICE: GODREJ COLISEUM, SOMAIYA HOSPITAL ROAD, B-3, 2ND FLOOR, SION (EAST), MUMBAI 400 022",India,2017-07-21,2025-01-20,"May 2010 Procurement Guidelines, Para. 1.14(a)(i) & (ii)"
SOCIÉTÉ GRANDS TRAVAUX MGHAIETH (GTM)*302,"21, KEMAL ATATURK STREET, TUNIS 1001",Tunisia,2016-01-20,2999-12-31,"Proc. Guidelines, 1.14(a)(ii); Proc. Guidelines, 1.15(a)(ii)"
MS. TUMENDEMBEREL BAYARMAA*295,"C/O ECOGRAPH LLC AKA ECOGRAPHY COMPANY, BUILDING OF MONGOL ENGINEER CO. LTD., KHOROO 20, BAYANGOL DISTRICT, ULANBATAAR",Mongolia,2015-10-15,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
CHUY FRP COMPOSITE LLC*299,"KOJOMBERDIEVA, 4 STREET, KARA-BALTA CITY, 724411",Kyrgyz Republic,2016-01-05,2999-12-31,"Proc. Guidelines, 1.14(a)(ii); Proc. Guidelines, 1.16(a)(ii)"
MR. NABOR MIRANDA GAMBINI*304,"PASAJE SR. DE LOS MILAGROS NO. 104, INDEPENDENCIA-HUARAZ, ANCASH",Peru,2016-01-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MINIMIX AGENCIES (MINIMIX)*325,"P. O. BOX 11583-00100, NAIROBI",Kenya,2016-06-17,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
MADHUCON PROJECTS LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2017-10-26,2999-12-31,"1999 Procurement Guidelines, Para. 1.15(a)(ii)"
"HUNAN CONSTRUCTION GROUP CO., LTD.(湖南建设集团有限公司) *301","LAST KNOWN ADDRESS: STATION ROAD NO. 70, WAN XIANG XIN TIAN BUSINESS MANSION 5, BUILDING NO. 31, 32F, FURONG DISTRICT, CHANGSHA, HUNAN",China,2016-01-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
SAN ISIDRO-L S.R.L.*303,"JR. SANTIAGO ANTÚNEZ DE MAYALO NO. 190, INDEPENDENCIA, ANCASH, HUARAZ",Peru,2016-01-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. NIKOLAI GEORGIEVITCH OBRADOVITCH*296,"LAST KNOWN ADDRESS: ANTONIENKO 3, -43, 190000 SAINT PETERSBURG",Russian Federation,2015-10-30,2999-12-31,"Consultant Guidelines, 1.22(a)(i)"
APQ S.A.C.*338,"MANZANA D LOTE 18, URBANIZACIÓN BALLESTAS, PISCO, ICA",Peru,2016-08-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. ALEXANDRE ANTONIO PAREJA QUINTANILLA*339,"CALLE PEDEMONTE 110-A, PISCO",Peru,2016-08-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"MR. PEDRO CESAR LAZO MONTEJO, also MR. PEDRO CÉSAR LAZO MONTEJO *340","AV. TAMARINDO MANZANA H LOTE 30, URBANIZACIÓN LA CAPULLANA, SANTIAGO DE SURCO, LIMA",Peru,2016-08-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ROPRUCSA CONTRATISTAS GENERALES S.A.*305,"AV. NARANJAL NO. 543, URBANIZACION NARANJAL, DISTRITO DE LOS OLIVOS 39, LIMA",Peru,2016-02-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSORCIO ROPRUCSA*307,"C/O ROPRUCSA CONTRATISTA GENERALES S.A., AV. NARANJAL NO. 543, URBANIZACION NARANJAL, DISTRITO DE LOS OLIVOS 39, LIMA",Peru,2016-02-05,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"GOLDEN HALL SERVICES CO., LTD.*331","LAST KNOWN ADDRESS: #334AE1, STREET 182, SANGKAT TOEK LAAK III, KHAN TOUL KORK, PHNOM PENH",Cambodia,2016-07-19,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
AN HOA LIMITED COMPANY*332,"231 TRUÒNG CHINH, HAI BÀ TRUNG, PHÛ LÝ, HÀ NAM",Viet Nam,2016-07-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. VALERI ANGELOV*71,"13B, LOUKASHOV STREET, 3000 VRATSA",Bulgaria,2011-11-16,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
